2025-09-26 16:12:06 | A=95.19 | B=61.62 | poměr=1.5448 | odchylka=4.53% | pohlaví=1 | věk=20-40
2025-09-26 18:34:48 | A=91.47 | B=55.73 | poměr=1.6413 | odchylka=1.44% | pohlaví=1 | věk=40-60
2025-09-26 18:36:56 | A=104.06 | B=56.94 | poměr=1.8275 | odchylka=12.95% | pohlaví=1 | věk=10-20
2025-09-26 18:38:07 | A=98.37 | B=60.33 | poměr=1.6305 | odchylka=0.77% | pohlaví=1 | věk=20-40
2025-09-26 18:39:15 | A=102.6 | B=56.7 | poměr=1.8095 | odchylka=11.83% | pohlaví=1 | věk=20-40
2025-09-26 18:40:36 | A=88.59 | B=54.43 | poměr=1.6276 | odchylka=0.59% | pohlaví=0 | věk=60-80
2025-09-26 18:42:19 | A=80.56 | B=51.75 | poměr=1.5567 | odchylka=3.79% | pohlaví=0 | věk=20-40
2025-09-26 18:43:31 | A=90.06 | B=57.92 | poměr=1.5549 | odchylka=3.90% | pohlaví=1 | věk=20-40
2025-09-26 18:44:40 | A=64.69 | B=42.53 | poměr=1.5210 | odchylka=5.99% | pohlaví=0 | věk=0-10
2025-09-26 18:45:41 | A=87.93 | B=52.21 | poměr=1.6842 | odchylka=4.09% | pohlaví=0 | věk=20-40
2025-09-26 18:46:43 | A=87.33 | B=47.79 | poměr=1.8274 | odchylka=12.94% | pohlaví=1 | věk=10-20
2025-09-26 18:48:08 | A=91.16 | B=57.95 | poměr=1.5731 | odchylka=2.78% | pohlaví=0 | věk=20-40
2025-09-26 18:49:06 | A=103.49 | B=64.83 | poměr=1.5963 | odchylka=1.34% | pohlaví=1 | věk=20-40
2025-09-26 18:50:02 | A=87.51 | B=56.66 | poměr=1.5445 | odchylka=4.55% | pohlaví=1 | věk=20-40
2025-09-26 18:51:03 | A=93.2 | B=59.6 | poměr=1.5638 | odchylka=3.35% | pohlaví=1 | věk=20-40
2025-09-26 18:52:02 | A=89.24 | B=51.13 | poměr=1.7454 | odchylka=7.87% | pohlaví=0 | věk=20-40
2025-09-26 18:54:10 | A=81.53 | B=52.64 | poměr=1.5488 | odchylka=4.28% | pohlaví=0 | věk=20-40
2025-09-26 18:55:23 | A=87.77 | B=51.88 | poměr=1.6918 | odchylka=4.56% | pohlaví=1 | věk=10-20
2025-09-26 18:56:51 | A=81.06 | B=49.03 | poměr=1.6533 | odchylka=2.18% | pohlaví=1 | věk=10-20
2025-09-26 18:58:25 | A=62.55 | B=40.23 | poměr=1.5548 | odchylka=3.91% | pohlaví=1 | věk=0-10
2025-09-26 18:59:34 | A=72.33 | B=45.85 | poměr=1.5775 | odchylka=2.50% | pohlaví=0 | věk=10-20
2025-09-26 19:00:30 | A=87.23 | B=53.49 | poměr=1.6308 | odchylka=0.79% | pohlaví=0 | věk=20-40
2025-09-26 19:01:29 | A=89.75 | B=56.62 | poměr=1.5851 | odchylka=2.03% | pohlaví=0 | věk=10-20
2025-09-26 19:02:36 | A=80.26 | B=52.95 | poměr=1.5158 | odchylka=6.32% | pohlaví=0 | věk=10-20
2025-09-26 19:03:47 | A=82.58 | B=49.11 | poměr=1.6815 | odchylka=3.92% | pohlaví=0 | věk=10-20
2025-09-26 19:04:56 | A=76.07 | B=50.23 | poměr=1.5144 | odchylka=6.40% | pohlaví=1 | věk=0-10
2025-09-26 19:06:44 | A=84.15 | B=51.82 | poměr=1.6239 | odchylka=0.36% | pohlaví=0 | věk=20-40
2025-09-26 19:08:09 | A=85.86 | B=48.93 | poměr=1.7548 | odchylka=8.45% | pohlaví=0 | věk=10-20
2025-09-26 19:09:15 | A=85.73 | B=53.45 | poměr=1.6039 | odchylka=0.87% | pohlaví=0 | věk=20-40
2025-09-26 19:10:26 | A=58.0 | B=39.68 | poměr=1.4617 | odchylka=9.66% | pohlaví=0 | věk=0-10
2025-09-26 19:11:27 | A=100.8 | B=61.4 | poměr=1.6417 | odchylka=1.46% | pohlaví=1 | věk=20-40
2025-09-26 19:12:31 | A=84.29 | B=53.18 | poměr=1.5850 | odchylka=2.04% | pohlaví=1 | věk=10-20
2025-09-26 19:13:51 | A=74.75 | B=46.94 | poměr=1.5925 | odchylka=1.58% | pohlaví=1 | věk=10-20
2025-09-26 19:14:56 | A=69.54 | B=44.6 | poměr=1.5592 | odchylka=3.64% | pohlaví=0 | věk=0-10
2025-09-26 19:15:57 | A=75.32 | B=48.86 | poměr=1.5415 | odchylka=4.73% | pohlaví=1 | věk=10-20
2025-09-26 19:17:02 | A=84.46 | B=55.12 | poměr=1.5323 | odchylka=5.30% | pohlaví=0 | věk=20-40
2025-09-26 19:17:59 | A=82.53 | B=51.91 | poměr=1.5899 | odchylka=1.74% | pohlaví=0 | věk=20-40
2025-09-26 19:19:00 | A=95.36 | B=61.75 | poměr=1.5443 | odchylka=4.56% | pohlaví=1 | věk=20-40
2025-09-26 19:21:24 | A=71.4 | B=48.25 | poměr=1.4798 | odchylka=8.54% | pohlaví=1 | věk=10-20
2025-09-26 19:24:15 | A=78.52 | B=52.68 | poměr=1.4905 | odchylka=7.88% | pohlaví=1 | věk=0-10
2025-09-26 19:25:19 | A=75.74 | B=46.88 | poměr=1.6156 | odchylka=0.15% | pohlaví=0 | věk=0-10
2025-09-26 19:26:59 | A=58.02 | B=39.7 | poměr=1.4615 | odchylka=9.68% | pohlaví=0 | věk=0-10
2025-09-26 19:27:01 | A=58.02 | B=39.7 | poměr=1.4615 | odchylka=9.68% | pohlaví=0 | věk=0-10
2025-09-26 19:27:15 | A=58.02 | B=39.7 | poměr=1.4615 | odchylka=9.68% | pohlaví=0 | věk=0-10
2025-09-26 19:28:30 | A=65.36 | B=41.61 | poměr=1.5708 | odchylka=2.92% | pohlaví=0 | věk=0-10
2025-09-26 19:29:59 | A=95.41 | B=59.0 | poměr=1.6171 | odchylka=0.06% | pohlaví=1 | věk=20-40
2025-09-26 19:31:21 | A=83.1 | B=52.06 | poměr=1.5962 | odchylka=1.35% | pohlaví=0 | věk=20-40
2025-09-26 19:33:09 | A=95.6 | B=54.61 | poměr=1.7506 | odchylka=8.19% | pohlaví=0 | věk=10-20
2025-09-26 19:34:27 | A=81.32 | B=52.21 | poměr=1.5576 | odchylka=3.74% | pohlaví=0 | věk=10-20
2025-09-26 19:35:52 | A=87.95 | B=51.86 | poměr=1.6959 | odchylka=4.81% | pohlaví=0 | věk=20-40
2025-09-26 19:37:40 | A=66.65 | B=38.9 | poměr=1.7134 | odchylka=5.89% | pohlaví=0 | věk=0-10
2025-09-26 19:37:40 | A=66.65 | B=38.9 | poměr=1.7134 | odchylka=5.89% | pohlaví=0 | věk=0-10
2025-09-26 19:39:14 | A=82.05 | B=54.5 | poměr=1.5055 | odchylka=6.95% | pohlaví=0 | věk=10-20
2025-09-26 19:40:53 | A=75.92 | B=49.1 | poměr=1.5462 | odchylka=4.44% | pohlaví=0 | věk=10-20
2025-09-26 19:42:21 | A=102.9 | B=65.23 | poměr=1.5775 | odchylka=2.51% | pohlaví=1 | věk=40-60
2025-09-26 19:43:33 | A=92.04 | B=57.78 | poměr=1.5929 | odchylka=1.55% | pohlaví=1 | věk=20-40
2025-09-26 19:45:12 | A=82.04 | B=56.56 | poměr=1.4505 | odchylka=10.35% | pohlaví=0 | věk=40-60
2025-09-26 19:46:41 | A=88.81 | B=52.84 | poměr=1.6807 | odchylka=3.88% | pohlaví=0 | věk=10-20
2025-09-26 19:47:51 | A=78.6 | B=49.64 | poměr=1.5834 | odchylka=2.14% | pohlaví=0 | věk=10-20
2025-09-26 19:49:23 | A=93.81 | B=59.55 | poměr=1.5753 | odchylka=2.64% | pohlaví=0 | věk=20-40
2025-09-26 19:51:15 | A=73.56 | B=48.65 | poměr=1.5120 | odchylka=6.55% | pohlaví=1 | věk=0-10
2025-09-26 19:52:44 | A=72.78 | B=42.95 | poměr=1.6945 | odchylka=4.73% | pohlaví=0 | věk=0-10
2025-09-26 19:54:00 | A=68.84 | B=44.13 | poměr=1.5599 | odchylka=3.59% | pohlaví=0 | věk=0-10
2025-09-26 19:55:08 | A=71.83 | B=46.81 | poměr=1.5345 | odchylka=5.16% | pohlaví=0 | věk=0-10
2025-09-26 19:56:11 | A=82.21 | B=50.94 | poměr=1.6139 | odchylka=0.26% | pohlaví=0 | věk=10-20
2025-09-26 19:57:31 | A=88.66 | B=53.48 | poměr=1.6578 | odchylka=2.46% | pohlaví=1 | věk=10-20
2025-09-26 19:58:48 | A=81.93 | B=49.37 | poměr=1.6595 | odchylka=2.56% | pohlaví=0 | věk=10-20
2025-09-26 19:59:52 | A=96.4 | B=56.72 | poměr=1.6996 | odchylka=5.04% | pohlaví=0 | věk=10-20
2025-09-26 20:01:03 | A=83.99 | B=51.15 | poměr=1.6420 | odchylka=1.48% | pohlaví=1 | věk=10-20
2025-09-26 20:02:21 | A=90.97 | B=56.12 | poměr=1.6210 | odchylka=0.18% | pohlaví=0 | věk=20-40
2025-09-26 20:04:07 | A=94.99 | B=56.9 | poměr=1.6694 | odchylka=3.18% | pohlaví=0 | věk=20-40
2025-09-26 20:06:08 | A=92.39 | B=56.74 | poměr=1.6283 | odchylka=0.63% | pohlaví=0 | věk=20-40
2025-09-26 20:08:02 | A=77.66 | B=49.03 | poměr=1.5839 | odchylka=2.11% | pohlaví=1 | věk=10-20
2025-09-26 20:09:11 | A=87.09 | B=62.96 | poměr=1.3833 | odchylka=14.51% | pohlaví=1 | věk=10-20
2025-09-26 20:09:45 | A=87.09 | B=63.51 | poměr=1.3713 | odchylka=15.25% | pohlaví=1 | věk=10-20
2025-09-26 20:09:51 | A=87.09 | B=58.9 | poměr=1.4786 | odchylka=8.62% | pohlaví=1 | věk=10-20
2025-09-26 20:11:04 | A=90.56 | B=56.23 | poměr=1.6105 | odchylka=0.46% | pohlaví=0 | věk=20-40
2025-09-26 20:12:18 | A=73.06 | B=44.73 | poměr=1.6334 | odchylka=0.95% | pohlaví=1 | věk=10-20
2025-09-26 20:13:41 | A=95.01 | B=57.14 | poměr=1.6628 | odchylka=2.76% | pohlaví=1 | věk=40-60
2025-09-26 20:15:27 | A=66.5 | B=40.76 | poměr=1.6315 | odchylka=0.83% | pohlaví=0 | věk=0-10
2025-09-26 20:16:40 | A=80.68 | B=52.73 | poměr=1.5301 | odchylka=5.44% | pohlaví=1 | věk=10-20
2025-09-26 20:17:33 | A=91.46 | B=55.06 | poměr=1.6611 | odchylka=2.66% | pohlaví=0 | věk=20-40
2025-09-26 20:19:20 | A=99.33 | B=64.03 | poměr=1.5513 | odchylka=4.12% | pohlaví=1 | věk=40-60
2025-09-26 20:20:34 | A=86.38 | B=57.46 | poměr=1.5033 | odchylka=7.09% | pohlaví=1 | věk=10-20
2025-09-26 20:24:52 | A=82.39 | B=53.42 | poměr=1.5423 | odchylka=4.68% | pohlaví=0 | věk=20-40
2025-09-26 20:25:51 | A=90.99 | B=53.82 | poměr=1.6906 | odchylka=4.49% | pohlaví=1 | věk=20-40
2025-09-26 20:31:22 | A=77.11 | B=47.4 | poměr=1.6268 | odchylka=0.54% | pohlaví=1 | věk=0-10
2025-09-26 20:32:44 | A=76.73 | B=47.28 | poměr=1.6229 | odchylka=0.30% | pohlaví=1 | věk=0-10
2025-09-26 20:33:57 | A=76.59 | B=48.0 | poměr=1.5956 | odchylka=1.38% | pohlaví=0 | věk=10-20
2025-09-26 20:35:44 | A=87.54 | B=54.12 | poměr=1.6175 | odchylka=0.03% | pohlaví=1 | věk=10-20
2025-09-26 20:37:01 | A=99.06 | B=67.9 | poměr=1.4589 | odchylka=9.83% | pohlaví=1 | věk=40-60
2025-09-26 20:38:08 | A=86.62 | B=55.58 | poměr=1.5585 | odchylka=3.68% | pohlaví=0 | věk=20-40
2025-09-26 20:39:05 | A=95.34 | B=59.03 | poměr=1.6151 | odchylka=0.18% | pohlaví=1 | věk=20-40
2025-09-26 20:40:42 | A=88.72 | B=47.65 | poměr=1.8619 | odchylka=15.07% | pohlaví=0 | věk=20-40
2025-09-26 20:41:04 | A=84.26 | B=47.65 | poměr=1.7683 | odchylka=9.29% | pohlaví=0 | věk=20-40
2025-09-26 20:42:10 | A=81.7 | B=53.19 | poměr=1.5360 | odchylka=5.07% | pohlaví=1 | věk=10-20
2025-09-26 20:44:45 | A=91.66 | B=60.66 | poměr=1.5110 | odchylka=6.61% | pohlaví=0 | věk=20-40
2025-09-26 20:45:50 | A=95.73 | B=59.09 | poměr=1.6201 | odchylka=0.13% | pohlaví=1 | věk=20-40
2025-09-26 20:46:50 | A=85.86 | B=56.19 | poměr=1.5280 | odchylka=5.56% | pohlaví=0 | věk=10-20
2025-09-26 20:48:10 | A=95.41 | B=60.18 | poměr=1.5854 | odchylka=2.02% | pohlaví=1 | věk=40-60
2025-09-26 20:49:38 | A=79.74 | B=49.26 | poměr=1.6188 | odchylka=0.04% | pohlaví=0 | věk=0-10
2025-09-26 20:51:05 | A=91.67 | B=56.87 | poměr=1.6119 | odchylka=0.38% | pohlaví=0 | věk=10-20
2025-09-26 20:53:16 | A=69.0 | B=42.83 | poměr=1.6110 | odchylka=0.43% | pohlaví=0 | věk=0-10
2025-09-26 20:55:03 | A=81.76 | B=54.84 | poměr=1.4909 | odchylka=7.86% | pohlaví=0 | věk=10-20
2025-09-26 20:57:08 | A=77.97 | B=51.28 | poměr=1.5205 | odchylka=6.03% | pohlaví=0 | věk=40-60
2025-09-26 20:58:46 | A=95.55 | B=63.27 | poměr=1.5102 | odchylka=6.66% | pohlaví=1 | věk=40-60
2025-09-26 21:06:55 | A=86.13 | B=52.28 | poměr=1.6475 | odchylka=1.82% | pohlaví=0 | věk=20-40
2025-09-26 21:08:14 | A=78.19 | B=46.29 | poměr=1.6891 | odchylka=4.39% | pohlaví=0 | věk=10-20
2025-09-26 21:09:25 | A=84.3 | B=52.45 | poměr=1.6072 | odchylka=0.67% | pohlaví=0 | věk=10-20
2025-09-26 21:10:22 | A=89.89 | B=59.61 | poměr=1.5080 | odchylka=6.80% | pohlaví=1 | věk=10-20
2025-09-26 21:11:33 | A=90.43 | B=60.32 | poměr=1.4992 | odchylka=7.35% | pohlaví=1 | věk=20-40
2025-09-26 21:13:34 | A=90.91 | B=58.65 | poměr=1.5500 | odchylka=4.20% | pohlaví=1 | věk=10-20
2025-09-26 21:15:54 | A=91.5 | B=54.47 | poměr=1.6798 | odchylka=3.82% | pohlaví=1 | věk=10-20
2025-09-26 21:17:05 | A=72.72 | B=47.18 | poměr=1.5413 | odchylka=4.74% | pohlaví=0 | věk=10-20
2025-09-26 21:18:37 | A=81.02 | B=51.39 | poměr=1.5766 | odchylka=2.56% | pohlaví=0 | věk=20-40
2025-09-26 21:19:49 | A=76.88 | B=50.39 | poměr=1.5257 | odchylka=5.71% | pohlaví=0 | věk=0-10
2025-09-26 21:20:51 | A=73.57 | B=48.81 | poměr=1.5073 | odchylka=6.85% | pohlaví=1 | věk=0-10
2025-09-26 21:33:56 | A=85.32 | B=49.31 | poměr=1.7303 | odchylka=6.94% | pohlaví=0 | věk=20-40
2025-09-26 21:35:28 | A=72.09 | B=43.75 | poměr=1.6478 | odchylka=1.84% | pohlaví=1 | věk=0-10
2025-09-26 21:40:22 | A=88.47 | B=56.69 | poměr=1.5606 | odchylka=3.55% | pohlaví=1 | věk=40-60
2025-09-26 21:43:31 | A=65.7 | B=48.21 | poměr=1.3628 | odchylka=15.78% | pohlaví=1 | věk=0-10
2025-09-26 21:45:32 | A=76.71 | B=49.63 | poměr=1.5456 | odchylka=4.47% | pohlaví=1 | věk=10-20
2025-09-26 21:49:11 | A=85.81 | B=56.54 | poměr=1.5177 | odchylka=6.20% | pohlaví=0 | věk=40-60
2025-09-26 21:58:56 | A=83.27 | B=50.17 | poměr=1.6598 | odchylka=2.58% | pohlaví=1 | věk=10-20
2025-09-26 22:11:24 | A=92.74 | B=53.46 | poměr=1.7348 | odchylka=7.21% | pohlaví=0 | věk=10-20
2025-09-26 22:13:24 | A=91.47 | B=57.39 | poměr=1.5938 | odchylka=1.50% | pohlaví=0 | věk=10-20
2025-09-26 22:16:28 | A=71.08 | B=42.84 | poměr=1.6592 | odchylka=2.54% | pohlaví=0 | věk=10-20
2025-09-26 22:18:20 | A=66.43 | B=40.96 | poměr=1.6218 | odchylka=0.23% | pohlaví=1 | věk=0-10
2025-09-26 22:20:46 | A=82.35 | B=51.68 | poměr=1.5935 | odchylka=1.52% | pohlaví=0 | věk=20-40
2025-09-26 22:22:29 | A=72.07 | B=45.43 | poměr=1.5864 | odchylka=1.96% | pohlaví=1 | věk=10-20
2025-09-26 22:27:57 | A=76.6 | B=45.37 | poměr=1.6883 | odchylka=4.35% | pohlaví=0 | věk=20-40
2025-09-26 22:36:19 | A=97.45 | B=60.93 | poměr=1.5994 | odchylka=1.15% | pohlaví=1 | věk=20-40
2025-09-26 22:38:17 | A=77.37 | B=48.81 | poměr=1.5851 | odchylka=2.03% | pohlaví=1 | věk=10-20
2025-09-26 22:40:59 | A=59.46 | B=36.46 | poměr=1.6308 | odchylka=0.79% | pohlaví=0 | věk=0-10
2025-09-26 22:43:42 | A=89.03 | B=54.12 | poměr=1.6450 | odchylka=1.67% | pohlaví=0 | věk=20-40
2025-09-26 22:45:38 | A=93.94 | B=59.93 | poměr=1.5675 | odchylka=3.12% | pohlaví=1 | věk=40-60
2025-09-26 22:48:10 | A=70.15 | B=42.48 | poměr=1.6514 | odchylka=2.06% | pohlaví=0 | věk=0-10
2025-09-26 22:50:31 | A=84.02 | B=52.96 | poměr=1.5865 | odchylka=1.95% | pohlaví=1 | věk=10-20
2025-09-26 23:01:05 | A=98.62 | B=62.85 | poměr=1.5691 | odchylka=3.02% | pohlaví=1 | věk=10-20
2025-09-26 23:03:25 | A=99.01 | B=62.04 | poměr=1.5959 | odchylka=1.37% | pohlaví=1 | věk=20-40
2025-09-26 23:08:01 | A=68.64 | B=42.82 | poměr=1.6030 | odchylka=0.93% | pohlaví=1 | věk=0-10
2025-09-26 23:11:11 | A=89.43 | B=49.53 | poměr=1.8056 | odchylka=11.59% | pohlaví=1 | věk=10-20
2025-09-26 23:12:08 | A=82.96 | B=49.53 | poměr=1.6749 | odchylka=3.52% | pohlaví=1 | věk=10-20
2025-09-26 23:15:21 | A=86.76 | B=51.66 | poměr=1.6794 | odchylka=3.80% | pohlaví=0 | věk=20-40
2025-09-26 23:29:41 | A=83.98 | B=52.04 | poměr=1.6138 | odchylka=0.26% | pohlaví=0 | věk=10-20
2025-09-26 23:31:14 | A=80.1 | B=51.63 | poměr=1.5514 | odchylka=4.12% | pohlaví=0 | věk=20-40
2025-09-26 23:32:55 | A=82.97 | B=56.72 | poměr=1.4628 | odchylka=9.59% | pohlaví=0 | věk=40-60
2025-09-26 23:33:33 | A=84.83 | B=56.72 | poměr=1.4956 | odchylka=7.57% | pohlaví=0 | věk=40-60
2025-09-26 23:35:42 | A=95.6 | B=56.36 | poměr=1.6962 | odchylka=4.83% | pohlaví=0 | věk=20-40
2025-09-26 23:38:56 | A=82.64 | B=56.21 | poměr=1.4702 | odchylka=9.14% | pohlaví=1 | věk=10-20
2025-09-26 23:40:46 | A=88.39 | B=58.54 | poměr=1.5099 | odchylka=6.68% | pohlaví=1 | věk=20-40
